Name,Nation,Age,Club,Position,Current Ability,League,Derived Price (EURm),Opening Bid (EURm)
Destiny Udogie,Italy,23,Tottenham,LB,148.0,Premier Division,36.93,25
Hidemasa Morita,Japan,31,Hull City,CM,146.0,Premier Division,33.34,25
Carlos Augusto,Brazil,27,Inter,LB,147.0,Serie A,35.09,25
Marten de Roon,Netherlands,35,Atalanta,CDM,148.0,Serie A,36.93,25
Federico Gatti,Italy,28,Juventus,CB,148.0,Serie A,36.93,25
Lewis Ferguson,Scotland,26,Bologna,CM,146.0,Serie A,33.34,25
Weston McKennie,U.S.A.,27,Juventus,CM,147.0,Serie A,35.09,25
Andriy Lunin,Ukraine,27,Real Madrid,GK,146.0,First Division,33.34,25
Breel Embolo,Switzerland,29,Rennes,ST,147.0,Ligue 1 Uber Eats,35.09,25
Edin Džeko,Bosnia & Herzegovina,40,Schalke 04,ST,148.0,Bundesliga,36.93,25
Patrik Schick,Czechia,30,Bayer Leverkusen,ST,145.0,Bundesliga,31.67,20
Victor Boniface,Nigeria,25,Bayer Leverkusen,ST,149.0,Bundesliga,38.87,25
Benjamin Henrichs,Germany,29,RB Leipzig,RB,146.0,Bundesliga,33.34,25
Nico Schlotterbeck,Germany,26,Borussia Dortmund,CB,148.0,Bundesliga,36.93,25
Jason Steele,England,35,Brighton,GK,145.0,Premier Division,31.67,20
Leon Bailey,Jamaica,28,Aston Villa,RW,146.0,Premier Division,33.34,25
Richarlison,Brazil,29,Tottenham,ST,146.0,Premier Division,33.34,25
Jordan Henderson,England,36,Chelsea,CM,147.0,Premier Division,35.09,25
Harry Maguire,England,33,Manchester United,CB,146.0,Premier Division,33.34,25
Joe Willock,England,26,Newcastle United,CM,146.0,Premier Division,33.34,25
Tyrone Mings,England,33,Aston Villa,CB,147.0,Premier Division,35.09,25
Rico Henry,England,29,Brentford,LB,146.0,Premier Division,33.34,25
Ibrahim Sangaré,Ivory Coast,28,Nottingham Forest,CDM,148.0,Premier Division,36.93,25
Bernd Leno,Germany,34,Fulham,GK,146.0,Premier Division,33.34,25
Noa Lang,Netherlands,27,Napoli,LW,145.0,Serie A,31.67,20
Donyell Malen,Netherlands,27,AS Roma,RW,146.0,Serie A,33.34,25
Riccardo Orsolini,Italy,29,Bologna,RW,147.0,Serie A,35.09,25
Nicolò Zaniolo,Italy,27,Udinese,RW,145.0,Serie A,31.67,20
Giacomo Raspadori,Italy,26,Atalanta,ST,146.0,Serie A,33.34,25
Giorgio Scalvini,Italy,22,Atalanta,CB,144.0,Serie A,30.09,20
Arkadiusz Milik,Poland,32,Juventus,ST,146.0,Serie A,33.34,25
Juan Foyth,Argentina,28,Villarreal,RB,146.0,First Division,33.34,25
Denis Suárez,Spain,32,Alavés,CM,146.0,First Division,33.34,25
Marc Cucurella,Spain,27,Real Madrid,LB,149.0,First Division,38.87,25
Ander Barrenetxea,Spain,24,Real Sociedad,LW,148.0,First Division,36.93,25
Geoffrey Kondogbia,Central African Rep.,33,Marseille,CDM,148.0,Ligue 1 Uber Eats,36.93,25
Jonathan Clauss,France,33,OGC Nice,RB,148.0,Ligue 1 Uber Eats,36.93,25
Kevin Kampl,Slovenia,35,RB Leipzig,CM,149.0,Bundesliga,38.87,25
Cheick Doucouré,Mali,26,Crystal Palace,CDM,145.0,Premier Division,31.67,20
Igor,Brazil,28,Brighton,CB,146.0,Premier Division,33.34,25
Matheus Cunha,Brazil,27,Manchester United,ST,145.0,Premier Division,31.67,20
João Pedro,Brazil,24,Chelsea,ST,147.0,Premier Division,35.09,25
Christian Nørgaard,Denmark,32,Everton,CDM,144.0,Premier Division,30.09,20
Bryan Mbeumo,Cameroon,26,Manchester United,RW,146.0,Premier Division,33.34,25
Nikola Milenkovic,Serbia,28,Nottingham Forest,CB,144.0,Premier Division,30.09,20
Diogo Dalot,Portugal,27,Manchester United,RB,146.0,Premier Division,33.34,25
Malick Thiaw,Germany,24,Newcastle United,CB,148.0,Premier Division,36.93,25
Alejandro Garnacho,Argentina,22,Aston Villa,LW,148.0,Premier Division,36.93,25
Rico Lewis,England,21,Manchester City,RB,147.0,Premier Division,35.09,25
Jonathan David,Canada,26,Juventus,ST,146.0,Serie A,33.34,25
Arthur,Brazil,29,Juventus,CM,146.0,Serie A,33.34,25
Nemanja Matic,Serbia,37,Sassuolo,CDM,145.0,Serie A,31.67,20
David De Gea,Spain,35,Fiorentina,GK,145.0,Serie A,31.67,20
Mario Hermoso,Spain,31,AS Roma,CB,145.0,Serie A,31.67,20
Alfonso Pedraza,Spain,30,Lazio,LB,145.0,Serie A,31.67,20
Lazar Samardžic,Serbia,24,Atalanta,AMF,146.0,Serie A,33.34,25
Marcão,Brazil,30,Sevilla,CB,145.0,First Division,31.67,20
Eric García,Spain,25,Barcelona,CB,144.0,First Division,30.09,20
Borja Iglesias,Spain,33,Celta Vigo,ST,145.0,First Division,31.67,20
Kang-In Lee,South Korea,25,Atletico Madrid,RW,145.0,First Division,31.67,20
Ramy Bensebaïni,Algeria,31,Borussia Dortmund,LB,143.0,Bundesliga,28.59,20
Andrej Kramaric,Croatia,35,TSG Hoffenheim,ST,145.0,Bundesliga,31.67,20
Julian Ryerson,Norway,28,Borussia Dortmund,RB,146.0,Bundesliga,33.34,25
Aleix García,Spain,29,Bayer Leverkusen,CM,144.0,Bundesliga,30.09,20
Ellyes Skhiri,Tunisia,31,Eintracht Frankfurt,CDM,143.0,Bundesliga,28.59,20
Matthias Ginter,Germany,32,SC Freiburg,CB,143.0,Bundesliga,28.59,20
Lukas Klostermann,Germany,30,RB Leipzig,CB,147.0,Bundesliga,35.09,25
David Raum,Germany,28,RB Leipzig,LB,144.0,Bundesliga,30.09,20
Tammy Abraham,England,28,Aston Villa,ST,143.0,Premier Division,28.59,20
Brennan Johnson,Wales,25,Everton,RW,144.0,Premier Division,30.09,20
Wataru Endo,Japan,33,Liverpool,CDM,144.0,Premier Division,30.09,20
Emiliano Buendía,Argentina,29,Aston Villa,AMF,143.0,Premier Division,28.59,20
António Silva,Portugal,22,Bournemouth,CB,144.0,Premier Division,30.09,20
Edon Zhegrova,Kosovo,27,Juventus,RW,144.0,Serie A,30.09,20
Justin Bijlow,Netherlands,28,Genoa,GK,144.0,Serie A,30.09,20
Gianluca Scamacca,Italy,27,Atalanta,ST,145.0,Serie A,31.67,20
Alessandro Buongiorno,Italy,27,Napoli,CB,146.0,Serie A,33.34,25
Andrea Cambiaso,Italy,26,Juventus,RB,144.0,Serie A,30.09,20
Evan N'Dicka,Ivory Coast,26,AS Roma,CB,146.0,Serie A,33.34,25
Khephren Thuram,France,25,Juventus,CM,144.0,Serie A,30.09,20
Youssouf Fofana,France,27,AC Milan,CM,144.0,Serie A,30.09,20
Billy Gilmour,Scotland,25,Napoli,CM,144.0,Serie A,30.09,20
Arnaut Danjuma,Netherlands,29,Valencia,LW,145.0,First Division,31.67,20
Alexander Sørloth,Norway,30,Atletico Madrid,ST,146.0,First Division,33.34,25
Marcos Alonso,Spain,35,Celta Vigo,LB,144.0,First Division,30.09,20
Álvaro García,Spain,33,Rayo Vallecano,LW,145.0,First Division,31.67,20
Carles Pérez,Spain,28,Celta Vigo,RW,145.0,First Division,31.67,20
Igor Zubeldia,Spain,29,Real Sociedad,CB,145.0,First Division,31.67,20
Álex Baena,Spain,24,Atletico Madrid,AMF,145.0,First Division,31.67,20
Yangel Herrera,Venezuela,28,Real Sociedad,CM,144.0,First Division,30.09,20
Amadou Haïdara,Mali,28,RC Lens,CM,146.0,Ligue 1 Uber Eats,33.34,25
Bradley Barcola,France,23,PSG,LW,146.0,Ligue 1 Uber Eats,33.34,25
Mario Götze,Germany,34,Eintracht Frankfurt,AMF,144.0,Bundesliga,30.09,20
Robin Gosens,Germany,32,Schalke 04,LB,144.0,Bundesliga,30.09,20
Eljif Elmas,North Macedonia,26,RB Leipzig,AMF,144.0,Bundesliga,30.09,20
Vincenzo Grifo,Italy,33,SC Freiburg,LW,143.0,Bundesliga,28.59,20
Deniz Undav,Germany,29,VfB Stuttgart,ST,143.0,Bundesliga,28.59,20
Lucas Perri,Brazil,28,Leeds United,GK,144.0,Premier Division,30.09,20
Mathias Jensen,Denmark,30,Brentford,CM,144.0,Premier Division,30.09,20
Robert Sánchez,Spain,28,Chelsea,GK,142.0,Premier Division,27.16,20
Nordi Mukiele,France,28,Sunderland,RB,145.0,Premier Division,31.67,20
Yeremy Pino,Spain,23,Crystal Palace,RW,144.0,Premier Division,30.09,20
Tyler Adams,U.S.A.,27,Bournemouth,CDM,143.0,Premier Division,28.59,20
Victor Lindelöf,Sweden,31,Aston Villa,CB,143.0,Premier Division,28.59,20
Ousmane Diomande,Ivory Coast,22,Nottingham Forest,CB,144.0,Premier Division,30.09,20
Leonardo Spinazzola,Italy,33,Napoli,LB,144.0,Serie A,30.09,20
Nicolò Fagioli,Italy,25,Fiorentina,CM,143.0,Serie A,28.59,20
Pierre Kalulu,France,26,Juventus,CB,142.0,Serie A,27.16,20
Adam Marušic,Montenegro,33,Lazio,RB,146.0,Serie A,33.34,25
Patric,Spain,33,Lazio,CB,142.0,Serie A,27.16,20
Samuel Chukwueze,Nigeria,27,AC Milan,RW,146.0,Serie A,33.34,25
Mathías Olivera,Uruguay,28,Napoli,LB,142.0,Serie A,27.16,20
João Mário,Portugal,26,Fiorentina,CM,144.0,Serie A,30.09,20
Sead Kolašinac,Bosnia & Herzegovina,33,Atalanta,CB,143.0,Serie A,28.59,20
Karim Adeyemi,Germany,24,Barcelona,LW,146.0,First Division,33.34,25
Umar Sadiq,Nigeria,29,Valencia,ST,144.0,First Division,30.09,20
Matteo Ruggeri,Italy,24,Atletico Madrid,LB,144.0,First Division,30.09,20
Mouctar Diakhaby,Guinea,29,Valencia,CB,144.0,First Division,30.09,20
Dávid Hancko,Slovakia,28,Atletico Madrid,CB,143.0,First Division,28.59,20
David Soria,Spain,33,Getafe,GK,144.0,First Division,30.09,20
Ayoze Pérez,Spain,32,Villarreal,LW,145.0,First Division,31.67,20
Javi Galán,Spain,31,Celta Vigo,LB,144.0,First Division,30.09,20
Brice Samba,France,32,Rennes,GK,145.0,Ligue 1 Uber Eats,31.67,20
Denis Zakaria,Switzerland,29,AS Monaco,CDM,146.0,Ligue 1 Uber Eats,33.34,25
Facundo Medina,Argentina,27,Bayer Leverkusen,CB,145.0,Bundesliga,31.67,20
Ross Barkley,England,32,Aston Villa,CM,143.0,Premier Division,28.59,20
Levi Colwill,England,23,Chelsea,CB,148.0,Premier Division,36.93,25
Dominic Solanke,England,28,Tottenham,ST,142.0,Premier Division,27.16,20
Jacob Ramsey,England,25,Newcastle United,CM,144.0,Premier Division,30.09,20
Ryan Gravenberch,Netherlands,24,Liverpool,CM,142.0,Premier Division,27.16,20
Ðorde Petrovic,Serbia,26,Bournemouth,GK,145.0,Premier Division,31.67,20
Kepa Arrizabalaga,Spain,31,Arsenal,GK,143.0,Premier Division,28.59,20
Jorge Cuenca,Spain,26,Fulham,CB,142.0,Premier Division,27.16,20
Sávio,Brazil,22,Manchester City,LW,145.0,Premier Division,31.67,20
Myles Lewis-Skelly,England,19,Arsenal,CM,143.0,Premier Division,28.59,20
Mario Pašalic,Croatia,31,Atalanta,CM,142.0,Serie A,27.16,20
Nikola Vlašic,Croatia,28,Torino,AMF,142.0,Serie A,27.16,20
Jérémie Boga,Ivory Coast,29,Juventus,LW,143.0,Serie A,28.59,20
Scott McTominay,Scotland,29,Napoli,CM,145.0,Serie A,31.67,20
Cristiano Biraghi,Italy,33,Torino,LB,144.0,Serie A,30.09,20
Nicolò Rovella,Italy,24,Lazio,CDM,142.0,Serie A,27.16,20
Santiago Giménez,Mexico,25,AC Milan,ST,144.0,Serie A,30.09,20
Antony,Brazil,26,Real Betis,RW,142.0,First Division,27.16,20
Héctor Bellerín,Spain,31,Real Betis,RB,142.0,First Division,27.16,20
Gonçalo Guedes,Portugal,29,Real Sociedad,ST,143.0,First Division,28.59,20
Marc Roca,Spain,29,Real Betis,CM,143.0,First Division,28.59,20
Rodrigo Riquelme,Spain,26,Real Betis,LW,143.0,First Division,28.59,20
Terem Moffi,Nigeria,27,OGC Nice,ST,144.0,Ligue 1 Uber Eats,30.09,20
Lucas Digne,France,32,PSG,LB,145.0,Ligue 1 Uber Eats,31.67,20
Valentin Rongier,France,31,Rennes,CM,142.0,Ligue 1 Uber Eats,27.16,20
Philipp Lienhart,Austria,30,SC Freiburg,CB,142.0,Bundesliga,27.16,20
Christoph Baumgartner,Austria,26,RB Leipzig,AMF,141.0,Bundesliga,25.81,20
Felix Nmecha,Germany,25,Borussia Dortmund,CM,143.0,Bundesliga,28.59,20
Sacha Boey,France,25,Bayern Munich,RB,142.0,Bundesliga,27.16,20
Robert Andrich,Germany,31,Bayer Leverkusen,CDM,143.0,Bundesliga,28.59,20
Walter Benítez,Argentina,33,Crystal Palace,GK,142.0,Premier Division,27.16,20
Ben Davies,Wales,33,Tottenham,CB,141.0,Premier Division,25.81,20
Harvey Barnes,England,28,Newcastle United,LW,143.0,Premier Division,28.59,20
Callum Hudson-Odoi,England,25,Nottingham Forest,LW,144.0,Premier Division,30.09,20
Cole Palmer,England,24,Chelsea,AMF,148.0,Premier Division,36.93,25
Tino Livramento,England,23,Newcastle United,RB,141.0,Premier Division,25.81,20
James Tarkowski,England,33,Everton,CB,143.0,Premier Division,28.59,20
Dan Burn,England,34,Newcastle United,CB,145.0,Premier Division,31.67,20
Kenny Tete,Netherlands,30,Fulham,RB,141.0,Premier Division,25.81,20
Justin Kluivert,Netherlands,27,Bournemouth,LW,141.0,Premier Division,25.81,20
Ferdi Kadioglu,Türkiye,26,Brighton,LB,143.0,Premier Division,28.59,20
Daichi Kamada,Japan,29,Crystal Palace,AMF,145.0,Premier Division,31.67,20
Kristoffer Ajer,Norway,28,Brentford,CB,141.0,Premier Division,25.81,20
Aaron Hickey,Scotland,24,Brentford,RB,145.0,Premier Division,31.67,20
Florentino Luís,Portugal,26,Ipswich Town,CDM,142.0,Premier Division,27.16,20
Beto,Guinea-Bissau,28,Everton,ST,142.0,Premier Division,27.16,20
Kevin Danso,Austria,27,Tottenham,CB,142.0,Premier Division,27.16,20
Noah Okafor,Switzerland,26,Leeds United,ST,142.0,Premier Division,27.16,20
Giovanni Simeone,Argentina,31,Torino,ST,143.0,Serie A,28.59,20
Alexis Saelemaekers,Belgium,27,AC Milan,RW,141.0,Serie A,25.81,20
Rasmus Højlund,Denmark,23,Napoli,ST,143.0,Serie A,28.59,20
Davide Zappacosta,Italy,34,Atalanta,RB,142.0,Serie A,27.16,20
Alfred Duncan,Ghana,33,Venezia,CM,142.0,Serie A,27.16,20
Federico Bernardeschi,Italy,32,Bologna,RW,144.0,Serie A,30.09,20
Michele Di Gregorio,Italy,28,Juventus,GK,142.0,Serie A,27.16,20
Andrea Colpani,Italy,27,Monza,RW,141.0,Serie A,25.81,20
Moise Kean,Italy,26,Fiorentina,ST,144.0,Serie A,30.09,20
Ivan Ilic,Serbia,25,Torino,CM,142.0,Serie A,27.16,20
Duván Zapata,Colombia,35,Torino,ST,145.0,Serie A,31.67,20
Jesper Karlsson,Sweden,27,Bologna,LW,142.0,Serie A,27.16,20
Odilon Kossounou,Ivory Coast,25,Atalanta,CB,142.0,Serie A,27.16,20
Giovani Lo Celso,Argentina,30,Real Betis,AMF,143.0,First Division,28.59,20
Luiz Felipe,Italy,29,Rayo Vallecano,CB,141.0,First Division,25.81,20
Diego Llorente,Spain,32,Real Betis,CB,142.0,First Division,27.16,20
Yuri,Spain,36,Athletic Bilbao,LB,142.0,First Division,27.16,20
Íñigo Ruiz de Galarreta,Spain,32,Athletic Bilbao,CM,144.0,First Division,30.09,20
Alejandro Catena,Spain,31,Osasuna,CB,141.0,First Division,25.81,20
Borja Mayoral,Spain,29,Getafe,ST,143.0,First Division,28.59,20
Santi Comesaña,Spain,29,Villarreal,CM,142.0,First Division,27.16,20
Álvaro Fidalgo,Spain,29,Real Betis,CM,144.0,First Division,30.09,20
Enes Ünal,Türkiye,29,Getafe,ST,142.0,First Division,27.16,20
Matías Vecino,Uruguay,34,Celta Vigo,CM,142.0,First Division,27.16,20
Javi Guerra,Spain,23,Valencia,CM,143.0,First Division,28.59,20
Nayef Aguerd,Morocco,30,Marseille,CB,143.0,Ligue 1 Uber Eats,28.59,20
Kevin Trapp,Germany,36,Paris FC,GK,146.0,Ligue 1 Uber Eats,33.34,25
Takumi Minamino,Japan,31,AS Monaco,AMF,143.0,Ligue 1 Uber Eats,28.59,20
Renato Sanches,Portugal,28,PSG,CM,144.0,Ligue 1 Uber Eats,30.09,20
Séko Fofana,Ivory Coast,31,Rennes,CM,143.0,Ligue 1 Uber Eats,28.59,20
Ludovic Blas,France,28,Rennes,RW,143.0,Ligue 1 Uber Eats,28.59,20
Sebastian Szymanski,Poland,27,Rennes,AMF,145.0,Ligue 1 Uber Eats,31.67,20
Lamine Yamal,Spain,19,Barcelona,RW,166.3,-,94.24,65
Pau Cubarsí,Spain,19,Barcelona,CB,156.7,-,57.65,40
Kobbie Mainoo,England,21,Manchester United,CM,160.3,-,69.32,50
Arda Güler,Türkiye,21,Real Madrid,AMF,154.0,-,50.21,35
Endrick,Brazil,20,Real Madrid,LW,158.3,-,62.57,45
João Neves,Portugal,21,PSG,CM,153.3,-,48.44,35
Désiré Doué,France,21,PSG,LW,145.0,-,31.67,20
Kenan Yildiz,Türkiye,21,Juventus,LW,150.3,-,41.55,30
Estêvão,Brazil,19,Chelsea,RW,153.3,-,48.44,35
Franco Mastantuono,Argentina,19,Fiorentina,AMF,146.0,-,33.34,25
Claudio Echeverri,Argentina,20,Manchester City,AMF,149.3,-,39.47,30
Geovany Quenda,Portugal,19,Sporting CP,RW,145.7,-,32.83,25
Oscar Bobb,Norway,23,Manchester City,RW,155.3,-,53.66,40
Ethan Nwaneri,England,19,Arsenal,AMF,147.7,-,36.37,25
Mathys Tel,France,21,Bayern Munich,LW,148.7,-,38.28,25
Jamie Gittens,England,22,Borussia Dortmund,LW,146.0,-,33.34,25
Archie Gray,England,20,Tottenham,RB,148.3,-,37.50,25
Lucas Bergvall,Sweden,20,Tottenham,CM,143.3,-,29.03,20
Rodrigo Mora,Portugal,19,FC Porto,AMF,149.3,-,39.47,30
Samu Aghehowa,Spain,22,FC Porto,LW,145.7,-,32.83,25
Fermín López,Spain,23,Barcelona,AMF,151.0,-,43.06,30
Marc Casadó,Spain,22,Barcelona,CDM,147.0,-,35.09,25
Marc Bernal,Spain,19,Barcelona,CDM,145.7,-,32.83,25
Morgan Rogers,England,24,Aston Villa,AMF,143.7,-,29.63,20
Jhon Durán,Colombia,22,Benfica,LW,144.7,-,31.19,20
Ian Maatsen,Netherlands,24,Aston Villa,LB,151.0,-,43.06,30
Amadou Onana,Belgium,25,Aston Villa,CDM,153.3,-,48.44,35
Adam Wharton,England,22,Crystal Palace,CDM,147.7,-,36.37,25
Jarrad Branthwaite,England,24,Everton,CB,151.3,-,43.73,30
Murillo,Brazil,24,Nottingham Forest,CB,154.0,-,50.21,35
Anthony Elanga,Sweden,24,Nottingham Forest,RW,146.7,-,34.55,25
Morgan Gibbs-White,England,26,Nottingham Forest,AMF,150.0,-,40.91,30
Malo Gusto,France,23,Chelsea,RB,152.3,-,46.02,30
Romeo Lavia,Belgium,22,Chelsea,CDM,155.3,-,53.66,40
Noni Madueke,England,24,Chelsea,RW,148.7,-,38.28,25
Renato Veiga,Portugal,23,Chelsea,LB,151.0,-,43.06,30
Kiernan Dewsbury-Hall,England,27,Chelsea,CM,148.0,-,36.93,25
Riccardo Calafiori,Italy,24,Arsenal,LB,152.0,-,45.32,30
Conor Bradley,Northern Ireland,23,Liverpool,RB,146.0,-,33.34,25
Jarell Quansah,England,23,Liverpool,CB,149.0,-,38.87,25
Leny Yoro,France,20,Manchester United,CB,159.0,-,64.85,45
Amad Diallo,Ivory Coast,24,Manchester United,RW,145.3,-,32.16,25
Lewis Hall,England,21,Newcastle United,LB,149.0,-,38.87,25
Lewis Miley,England,20,Newcastle United,CM,147.3,-,35.63,25
Crysencio Summerville,Netherlands,24,West Ham United,LW,144.0,-,30.09,20
Niclas Füllkrug,Germany,33,West Ham United,AMF,149.7,-,40.29,30
Max Kilman,England,29,West Ham United,CB,147.0,-,35.09,25
Aaron Wan-Bissaka,DR Congo,28,West Ham United,RB,144.3,-,30.56,20
Carlos Baleba,Cameroon,22,Brighton,CDM,149.0,-,38.87,25
Georginio Rutter,France,24,Brighton,AMF,146.0,-,33.34,25
Yasin Ayari,Sweden,22,Brighton,CM,144.0,-,30.09,20
Liam Delap,England,23,Ipswich Town,LW,146.7,-,34.55,25
Pablo Barrios,Spain,23,Atletico Madrid,CM,151.7,-,44.63,30
Samuel Lino,Brazil,26,Atletico Madrid,LW,155.3,-,53.66,40
Giuliano Simeone,Argentina,23,Atletico Madrid,RW,148.7,-,38.28,25
Fran García,Spain,27,Real Madrid,LB,152.7,-,46.98,35
Raúl Asencio,Spain,23,Real Madrid,CB,145.7,-,32.83,25
Inigo Martínez,Spain,35,Barcelona,CB,150.0,-,40.91,30
Iñaki Peña,Spain,27,Barcelona,GK,146.0,-,33.34,25
Héctor Fort,Spain,20,Barcelona,RB,147.0,-,35.09,25
Unai Gómez,Spain,23,Athletic Bilbao,AMF,145.0,-,31.67,20
Beñat Prados,Spain,25,Athletic Bilbao,CDM,147.0,-,35.09,25
Aitor Paredes,Spain,26,Athletic Bilbao,CB,145.3,-,32.16,25
Luka Sucic,Croatia,23,Real Sociedad,CM,141.7,-,26.75,20
Jon Aramburu,Venezuela,24,Real Sociedad,RB,149.7,-,40.29,30
Viktor Tsygankov,Ukraine,28,Girona,RW,152.3,-,46.02,30
Yaser Asprilla,Colombia,22,Galatasaray,RW,147.0,-,35.09,25
Abde Ezzalzouli,Morocco,24,Real Betis,LW,149.0,-,38.87,25
Thierno Barry,France,23,Villarreal,LW,148.7,-,38.28,25
Joan García,Spain,25,Espanyol,GK,147.0,-,35.09,25
Nico Paz,Argentina,21,Como,AMF,144.0,-,30.09,20
Francesco Camarda,Italy,18,AC Milan,LW,145.0,-,31.67,20
Yann Bisseck,Germany,25,Inter,CB,148.3,-,37.50,25
Matias Soulé,Argentina,23,AS Roma,RW,154.0,-,50.21,35
Francisco Conceição,Portugal,23,Juventus,RW,147.0,-,35.09,25
Nicolò Savona,Italy,23,Juventus,RB,146.0,-,33.34,25
Samuel Mbangula,Belgium,22,Juventus,LW,153.3,-,48.44,35
Vasije Adzic,Montenegro,20,Juventus,AMF,144.0,-,30.09,20
Niccolò Pisilli,Italy,21,AS Roma,CM,147.0,-,35.09,25
Manu Koné,France,25,AS Roma,CM,153.0,-,47.70,35
Mateo Retegui,Italy,27,Atalanta,LW,146.3,-,33.85,25
Marco Brescianini,Italy,26,Atalanta,CM,149.0,-,38.87,25
Raoul Bellanova,Italy,26,Atalanta,RB,147.3,-,35.63,25
Marco Carnesecchi,Italy,26,Atalanta,GK,151.3,-,43.73,30
Patrick Dorgu,Denmark,21,Lecce,LB,150.0,-,40.91,30
Aleksandar Pavlovic,Germany,22,Bayern Munich,CDM,149.3,-,39.47,30
Hiroki Ito,Japan,27,Bayern Munich,CB,148.7,-,38.28,25
Maximilian Beier,Germany,23,Borussia Dortmund,LW,144.7,-,31.19,20
Waldemar Anton,Germany,30,Borussia Dortmund,CB,146.7,-,34.55,25
Julien Duranville,Belgium,20,Borussia Dortmund,RW,148.3,-,37.50,25
Castello Lukeba,France,23,RB Leipzig,CB,154.7,-,52.04,35
Arthur Vermeeren,Belgium,21,RB Leipzig,CM,149.0,-,38.87,25
Antonio Nusa,Norway,21,RB Leipzig,LW,148.3,-,37.50,25
Benjamin Šeško,Slovenia,23,RB Leipzig,LW,149.7,-,40.29,30
Piero Hincapié,Ecuador,24,Arsenal,CB,156.7,-,57.65,40
Angelo Stiller,Germany,25,VfB Stuttgart,CDM,146.7,-,34.55,25
Enzo Millot,France,24,VfB Stuttgart,AMF,147.7,-,36.37,25
Hugo Larsson,Sweden,22,Eintracht Frankfurt,CM,147.3,-,35.63,25
Can Uzun,Türkiye,20,Eintracht Frankfurt,AMF,148.7,-,38.28,25
Omar Marmoush,Egypt,27,Eintracht Frankfurt,LW,157.7,-,60.68,40
Hugo Ekitike,France,24,Eintracht Frankfurt,LW,151.7,-,44.63,30
Paul Wanner,Austria,20,PSV Eindhoven,AMF,146.3,-,33.85,25
Willian Pacho,Ecuador,24,PSG,CB,147.3,-,35.63,25
Lucas Beraldo,Brazil,22,PSG,CB,156.7,-,57.65,40
Senny Mayulu,France,20,PSG,AMF,153.0,-,47.70,35
Magne Akliouche,France,24,AS Monaco,RW,150.3,-,41.55,30
Eliesse Ben Seghir,Morocco,21,AS Monaco,AMF,150.3,-,41.55,30
George Ilenikhena,Nigeria,20,AS Monaco,LW,148.3,-,37.50,25
Lucas Chevalier,France,24,Lille,GK,150.0,-,40.91,30
Ayyoub Bouaddi,France,18,Lille,CM,157.7,-,60.68,40
Tiago Santos,Portugal,24,Lille,RB,151.0,-,43.06,30
Mason Greenwood,England,24,Marseille,RW,163.7,-,82.49,60
Elye Wahi,France,23,Marseille,LW,151.7,-,44.63,30
Malick Fofana,Belgium,21,Lyon,LW,153.3,-,48.44,35
Rayan Cherki,France,23,Lyon,AMF,154.0,-,50.21,35
Guillaume Restes,France,21,Toulouse,GK,146.7,-,34.55,25
Gabriel Sara,Brazil,27,Galatasaray,CM,152.7,-,46.98,35
Baris Alper Yilmaz,Türkiye,26,Galatasaray,RW,154.3,-,50.99,35
Yunus Akgün,Türkiye,26,Galatasaray,RW,146.0,-,33.34,25
Davinson Sánchez,Colombia,30,Galatasaray,CB,151.3,-,43.73,30
Sofyan Amrabat,Morocco,30,Fenerbahçe,CDM,153.0,-,47.70,35
Irfan Can Kahveci,Türkiye,31,Fenerbahçe,RW,151.3,-,43.73,30
Ismail Yüksek,Türkiye,27,Fenerbahçe,CDM,148.7,-,38.28,25
Jayden Oosterwolde,Netherlands,25,Fenerbahçe,LB,146.0,-,33.34,25
Çaglar Söyüncü,Türkiye,30,Fenerbahçe,CB,151.3,-,43.73,30
Rafa Silva,Portugal,33,Beşiktaş,AMF,146.3,-,33.85,25
Ernest Muçi,Albania,25,Beşiktaş,AMF,144.0,-,30.09,20
Semih Kiliçsoy,Türkiye,21,Beşiktaş,LW,144.3,-,30.56,20
Jorrel Hato,Netherlands,20,Chelsea,CB,153.7,-,49.44,35
Brian Brobbey,Netherlands,24,Ajax,LW,147.3,-,35.63,25
Johan Bakayoko,Belgium,23,RB Leipzig,RW,153.3,-,48.44,35
Malik Tillman,U.S.A.,24,PSV Eindhoven,AMF,147.3,-,35.63,25
Joey Veerman,Netherlands,27,PSV Eindhoven,CM,147.3,-,35.63,25
Jerdy Schouten,Netherlands,29,PSV Eindhoven,CDM,150.3,-,41.55,30
Quinten Timber,Netherlands,25,Feyenoord,CM,147.7,-,36.37,25
Igor Paixão,Brazil,26,Feyenoord,LW,148.3,-,37.50,25
Orkun Kökçü,Türkiye,25,Benfica,CM,151.0,-,43.06,30
Kerem Aktürkoglu,Türkiye,27,Benfica,LW,150.7,-,42.40,30
Vangelis Pavlidis,Greece,27,Benfica,LW,147.0,-,35.09,25
Gianluca Prestianni,Argentina,20,Benfica,RW,153.7,-,49.44,35
Anatoliy Trubin,Ukraine,25,Benfica,GK,150.0,-,40.91,30
Alan Varela,Argentina,25,FC Porto,CDM,151.0,-,43.06,30
Thiago Almada,Argentina,25,Atletico Madrid,AMF,145.7,-,32.83,25
Luiz Henrique,Brazil,25,Botafogo,RW,148.3,-,37.50,25
Pedro,Brazil,29,Flamengo,LW,145.3,-,32.16,25
Gerson,Brazil,29,Flamengo,CM,153.7,-,49.44,35
